ID var_rpta_alt
325299#840083#240259 0
510095#793832#286510 1
105217#83573#1021670 0
250347#436517#643747 1
423999#995409#84933 1
38394#776273#304069 1
23007#1062017#18325 1
425637#181724#906410 0
502731#791976#288366 1
113621#564103#516239 1
409947#164833#923292 1
356512#308744#774378 0
261999#530268#550074 0
141144#651953#428389 1
393367#609474#470868 0
306104#29980#1009038 0
12113#882066#198276 0
61750#1033691#46651 1
298546#808339#272003 1
446525#624770#455572 1
528688#1014055#66287 1
599166#217998#864769 1
17677#190236#898000 1
122025#994037#86305 1
376954#1078317#2025 1
262450#1053458#26884 1
104304#92997#994771 0
113975#1068837#11505 1
596857#665816#414526 1
261340#740260#340082 1
600070#455158#625183 1
3397#835908#244434 1
247091#1922#1074201 1
28733#786652#293690 1
498166#814008#266334 1
503896#371528#708322 1
79421#113103#974710 1
84918#465801#614541 0
523757#405129#674794 0
251671#1003065#77277 1
146695#399446#680465 1
69581#1002692#77650 1
402837#525035#555307 1
547728#870635#209707 0
448371#1002178#78164 1
162728#573726#506616 1
397502#109154#978644 0
4898#29357#728549 0
365825#983965#96377 0
67503#843035#237307 1
23095#408407#671508 1
100883#867780#212562 1
207682#850451#229891 1
414087#192991#895256 1
213612#660894#419448 0
628929#243425#839577 1
217803#442340#637966 1
624485#99822#987960 1
373993#849447#230895 1
609772#387116#692738 1
363989#85796#1019464 1
21206#331463#749099 0
489738#613765#466577 1
348#156886#931211 1
299903#972313#108029 1
504034#381175#698680 1
623514#59977#1045001 1
310334#3978#1013639 0
599741#546744#533598 1
115520#551410#528932 0
54712#556105#524237 1
377436#814722#265620 1
245514#403857#676063 1
207159#964936#115406 1
165998#1074442#5900 1
144649#330681#750029 1
395014#294807#820241 0
101839#499032#581310 1
476133#948476#131866 1
228132#1064359#15983 1
319839#324405#758723 1
372807#970797#109545 1
133667#494772#585570 0
161505#1008323#72019 0
193459#886262#194080 1
616743#4143#1001393 1
541906#1013170#67172 1
416421#410223#669700 0
19394#784479#295863 1
286096#454278#626067 1
169462#846042#234300 1
594218#3411#1005022 1
30628#787895#292447 1
375109#9959#1080695 1
551557#881028#199314 1
584221#375470#704385 1
56717#249321#833680 1
351502#1047653#32689 1
623297#437967#642327 1
52311#409922#669997 1
193702#268907#814106 1
611248#2895#1000317 1
160348#1071684#8658 1
45472#216252#866519 1
351734#354935#724934 1
48788#634882#445460 1
433597#704418#375924 1
528020#72669#1032389 1
2010#962895#117447 1
423012#112227#975584 1
203866#29420#728752 1
111958#592724#487618 0
128235#661656#418686 0
533425#284577#798479 0
24605#394957#684954 1
166181#187558#900596 1
97668#614882#465460 1
60871#302804#780310 1
343587#1051#1074488 1
228291#991266#89076 0
155621#704366#375976 1
152440#203539#881704 1
213292#668099#412243 1
386709#257165#825812 1
197062#1065507#14835 1
608823#1032307#48035 1
43677#651976#428366 1
129729#492738#587604 1
25848#732953#347389 1
258929#464714#615628 1
524331#890516#189826 1
433020#979843#100499 1
5947#33996#1071032 0
621552#678540#401802 1
469065#121541#966280 1
192050#950236#130106 1
237402#542601#537741 0
192753#607240#473102 0
406569#18731#1012383 1
145207#392122#687778 1
46086#792495#287847 1
132668#486112#594230 1
284813#858702#221640 0
573155#383589#696264 1
291011#270524#812482 1
330583#493244#587098 1
529633#284278#798777 0
269669#168260#919873 1
434446#352412#727457 0
71161#664574#415768 1
422536#761849#318493 0
420643#719052#361290 1
352701#1071648#8694 0
591450#799579#280763 1
175507#312812#770327 1
190167#793871#286471 1
160501#734860#345482 1
14009#1048792#31550 1
272648#563215#517127 0
473546#833290#247052 1
504216#899182#181160 1
475110#370613#709232 1
540351#1044026#36316 1
326696#143169#944934 1
112612#820779#259563 1
16465#950367#129975 0
126294#39149#1065948 1
160719#754305#326037 0
69348#277489#805548 1
129150#901615#178727 0
81954#845307#235035 1
557185#175562#912536 1
593223#1022158#58184 0
628487#322887#760248 1
387076#371665#708184 1
